in s,C1 in V
-1.9620464E-02,1.18051E+01
-1.9620160E-02,1.18051E+01
-1.9619856E-02,1.18246E+01
-1.9619552E-02,1.18051E+01
-1.9619248E-02,1.18246E+01
-1.9618944E-02,1.17855E+01
-1.9618640E-02,1.17855E+01
-1.9618336E-02,1.17660E+01
-1.9618032E-02,1.17855E+01
-1.9617728E-02,1.18051E+01
-1.9617424E-02,1.18051E+01
-1.9617120E-02,1.17660E+01
-1.9616816E-02,1.17855E+01
-1.9616512E-02,1.17465E+01
-1.9616208E-02,1.17855E+01
-1.9615904E-02,1.17660E+01
-1.9615600E-02,1.17465E+01
-1.9615296E-02,1.17465E+01
-1.9614992E-02,1.18246E+01
-1.9614688E-02,1.17270E+01
-1.9614384E-02,1.17855E+01
-1.9614080E-02,1.18637E+01
-1.9613776E-02,1.17855E+01
-1.9613472E-02,1.17465E+01
-1.9613168E-02,1.17660E+01
-1.9612864E-02,1.17855E+01
-1.9612560E-02,1.17660E+01
-1.9612256E-02,1.18246E+01
-1.9611952E-02,1.18246E+01
-1.9611648E-02,1.17660E+01
-1.9611344E-02,1.18246E+01
-1.9611040E-02,1.18246E+01
-1.9610736E-02,1.18246E+01
-1.9610432E-02,1.17855E+01
-1.9610128E-02,1.17855E+01
-1.9609824E-02,1.17074E+01
-1.9609520E-02,1.18246E+01
-1.9609216E-02,1.18246E+01
-1.9608912E-02,1.18051E+01
-1.9608608E-02,1.17660E+01
-1.9608304E-02,1.18246E+01
-1.9608000E-02,1.17270E+01
-1.9607696E-02,1.17660E+01
-1.9607392E-02,1.18246E+01
-1.9607088E-02,1.17660E+01
-1.9606784E-02,1.17855E+01
-1.9606480E-02,1.17074E+01
-1.9606176E-02,1.18051E+01
-1.9605872E-02,1.17855E+01
-1.9605568E-02,1.17660E+01
-1.9605264E-02,1.18051E+01
-1.9604960E-02,1.19027E+01
-1.9604656E-02,1.18051E+01
-1.9604352E-02,1.18246E+01
-1.9604048E-02,1.18441E+01
-1.9603744E-02,1.18051E+01
-1.9603440E-02,1.18637E+01
-1.9603136E-02,1.18441E+01
-1.9602832E-02,1.18246E+01
-1.9602528E-02,1.18441E+01
-1.9602224E-02,1.17660E+01
-1.9601920E-02,1.17465E+01
-1.9601616E-02,1.18246E+01
-1.9601312E-02,1.17270E+01
-1.9601008E-02,1.18246E+01
-1.9600704E-02,1.18246E+01
-1.9600400E-02,1.18246E+01
-1.9600096E-02,1.17660E+01
-1.9599792E-02,1.17465E+01
-1.9599488E-02,1.18637E+01
-1.9599184E-02,1.17074E+01
-1.9598880E-02,1.18441E+01
-1.9598576E-02,1.18246E+01
-1.9598272E-02,1.17660E+01
-1.9597968E-02,1.17855E+01
-1.9597664E-02,1.17660E+01
-1.9597360E-02,1.17855E+01
-1.9597056E-02,1.17465E+01
-1.9596752E-02,1.18246E+01
-1.9596448E-02,1.18246E+01
-1.9596144E-02,1.18051E+01
-1.9595840E-02,1.18246E+01
-1.9595536E-02,1.18246E+01
-1.9595232E-02,1.18051E+01
-1.9594928E-02,1.17660E+01
-1.9594624E-02,1.18637E+01
-1.9594320E-02,1.18441E+01
-1.9594016E-02,1.17465E+01
-1.9593712E-02,1.18441E+01
-1.9593408E-02,1.17855E+01
-1.9593104E-02,1.17855E+01
-1.9592800E-02,1.17465E+01
-1.9592496E-02,1.18246E+01
-1.9592192E-02,1.17855E+01
-1.9591888E-02,1.17855E+01
-1.9591584E-02,1.18246E+01
-1.9591280E-02,1.17855E+01
-1.9590976E-02,1.18051E+01
-1.9590672E-02,1.18246E+01
-1.9590368E-02,1.17660E+01
-1.9590064E-02,1.17855E+01
-1.9589760E-02,1.18246E+01
-1.9589456E-02,1.17855E+01
-1.9589152E-02,1.17660E+01
-1.9588848E-02,1.17855E+01
-1.9588544E-02,1.18051E+01
-1.9588240E-02,1.18051E+01
-1.9587936E-02,1.18246E+01
-1.9587632E-02,1.17465E+01
-1.9587328E-02,1.17660E+01
-1.9587024E-02,1.17855E+01
-1.9586720E-02,1.17660E+01
-1.9586416E-02,1.18246E+01
-1.9586112E-02,1.17270E+01
-1.9585808E-02,1.18246E+01
-1.9585504E-02,1.18246E+01
-1.9585200E-02,1.18246E+01
-1.9584896E-02,1.18637E+01
-1.9584592E-02,1.18441E+01
-1.9584288E-02,1.17855E+01
-1.9583984E-02,1.18246E+01
