in s,C1 in V
-1.7246205E-02,1.193710E+01
-1.7245939E-02,1.193905E+01
-1.7245674E-02,1.193515E+01
-1.7245408E-02,1.193320E+01
-1.7245142E-02,1.193124E+01
-1.7244877E-02,1.193320E+01
-1.7244611E-02,1.193710E+01
-1.7244346E-02,1.192929E+01
-1.7244080E-02,1.193320E+01
-1.7243814E-02,1.193515E+01
-1.7243549E-02,1.194101E+01
-1.7243283E-02,1.194101E+01
-1.7243018E-02,1.193710E+01
-1.7242752E-02,1.193515E+01
-1.7242486E-02,1.193124E+01
-1.7242221E-02,1.193905E+01
-1.7241955E-02,1.193320E+01
-1.7241690E-02,1.193905E+01
-1.7241424E-02,1.193710E+01
-1.7241158E-02,1.193515E+01
-1.7240893E-02,1.193320E+01
-1.7240627E-02,1.193710E+01
-1.7240362E-02,1.193710E+01
-1.7240096E-02,1.193515E+01
-1.7239830E-02,1.194491E+01
-1.7239565E-02,1.192929E+01
-1.7239299E-02,1.192929E+01
-1.7239034E-02,1.192929E+01
-1.7238768E-02,1.193515E+01
-1.7238502E-02,1.193515E+01
-1.7238237E-02,1.193515E+01
-1.7237971E-02,1.193710E+01
-1.7237706E-02,1.193124E+01
-1.7237440E-02,1.193710E+01
-1.7237174E-02,1.193710E+01
-1.7236909E-02,1.193905E+01
-1.7236643E-02,1.193515E+01
-1.7236378E-02,1.193124E+01
-1.7236112E-02,1.193710E+01
-1.7235846E-02,1.193710E+01
-1.7235581E-02,1.193320E+01
-1.7235315E-02,1.193710E+01
-1.7235050E-02,1.194296E+01
-1.7234784E-02,1.193515E+01
-1.7234518E-02,1.191757E+01
-1.7234253E-02,1.193515E+01
-1.7233987E-02,1.193515E+01
-1.7233722E-02,1.192929E+01
-1.7233456E-02,1.193124E+01
-1.7233190E-02,1.193515E+01
-1.7232925E-02,1.193710E+01
-1.7232659E-02,1.193710E+01
-1.7232394E-02,1.193320E+01
-1.7232128E-02,1.194101E+01
-1.7231862E-02,1.193515E+01
-1.7231597E-02,1.194296E+01
-1.7231331E-02,1.193320E+01
-1.7231066E-02,1.194101E+01
-1.7230800E-02,1.193905E+01
-1.7230534E-02,1.193905E+01
-1.7230269E-02,1.193515E+01
-1.7230003E-02,1.193710E+01
-1.7229738E-02,1.192929E+01
-1.7229472E-02,1.193124E+01
-1.7229206E-02,1.193124E+01
-1.7228941E-02,1.193515E+01
-1.7228675E-02,1.194296E+01
-1.7228410E-02,1.193905E+01
-1.7228144E-02,1.193320E+01
-1.7227878E-02,1.193515E+01
-1.7227613E-02,1.193710E+01
-1.7227347E-02,1.193905E+01
-1.7227082E-02,1.193710E+01
-1.7226816E-02,1.193124E+01
-1.7226550E-02,1.193905E+01
-1.7226285E-02,1.193710E+01
-1.7226019E-02,1.194296E+01
-1.7225754E-02,1.193515E+01
-1.7225488E-02,1.193710E+01
-1.7225222E-02,1.193905E+01
-1.7224957E-02,1.192929E+01
